Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
08/31/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1439.60,10.31,-139.631,
08/31/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-640.48,10.31,-62.122,
08/31/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-919.92,10.31,-89.226,
08/27/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-2879.25,10.32,-278.997,
08/27/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1280.91,10.32,-124.119,
08/27/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1839.84,10.32,-178.279,
08/10/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,1.50,10.31,0.146,
08/10/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.67,10.31,0.065,
08/10/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.96,10.31,0.093,
08/07/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1782.89,10.31,172.928,
08/07/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,983.04,10.31,95.348,
08/07/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1234.07,10.31,119.696,
08/05/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1025.02,10.31,99.420,
08/05/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,341.67,10.31,33.140,
08/05/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,597.92,10.31,57.994,
08/04/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1025.02,10.32,99.324,
08/04/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,341.67,10.32,33.108,
08/04/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,597.92,10.32,57.938,
07/22/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1372.23,10.31,-133.097,
07/22/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-704.13,10.31,-68.296,
07/22/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-923.64,10.31,-89.587,
07/21/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1372.23,10.32,-132.968,
07/21/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-704.14,10.32,-68.231,
07/21/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-923.63,10.32,-89.499,
07/20/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-1372.23,10.32,-132.968,
07/20/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-704.14,10.32,-68.231,
07/20/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-923.63,10.32,-89.499,
07/09/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,1.57,10.32,0.152,
07/09/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.80,10.32,0.078,
