Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
01/20/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-422.31,1.00,-422.310,
01/20/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-140.78,1.00,-140.770,
01/20/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.52,1.00,-281.540,
01/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,422.31,1.00,422.310,
01/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,140.77,1.00,140.770,
01/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
12/30/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Daily Accrual Dividend Reinvestment Incr,17.50,10.65,1.643,
12/30/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Daily Accrual Dividend Reinvestment Incr,8.00,10.65,0.751,
12/30/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Daily Accrual Dividend Reinvestment Incr,11.78,10.65,1.106,
12/21/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Long Term Capital Gain Reinvestment,1.30,10.59,0.123,
12/21/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Long Term Capital Gain Reinvestment,0.59,10.59,0.056,
12/21/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Long Term Capital Gain Reinvestment,0.87,10.59,0.082,
12/21/2016,Vanguard Total Bond Mkt Index Admiral,VBTLX,Short Term Capital Gain Reinvestment,2.77,10.59,0.262,
